Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
Lebsack-Carroll,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Laura Thompson,1/28/24,Services,Qualified,2,,,623,20,4/30/24,,,
Tremblay and Sons,France,48.864716,2.349014,IT & IT Services,Medium (201-500),David Wilson,5/17/24,Custom solution,Qualified,2,,,4917,20,1/13/25,,,
Wiegand-Schroeder,Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Michael Brown,2/24/24,Services,Qualified,2,,,7208,50,10/18/24,,,
Reynolds Inc,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Michael Brown,1/9/24,SAAS,Qualified,2,,,4534,10,2/10/24,,,
Huel-Smitham,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Laura Thompson,4/6/24,SAAS,Qualified,2,,,7112,40,8/25/24,,,
Cassin Group,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Emily Johnson,1/9/24,Services,Qualified,2,,,2505,60,9/10/24,,,
"Effertz, Stark and DuBuque",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Jessica Martinez,3/19/24,Services,Qualified,2,,,2181,100,11/20/24,,,
Harris-Lockman,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Laura Thompson,1/11/24,Services,Qualified,2,,,5144,40,7/21/24,,,
"Klocko, Herzog and Ruecker",Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),Laura Thompson,1/20/24,SAAS,Qualified,2,,,2097,20,12/12/24,,,
Gibson Inc,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Laura Thompson,5/17/24,Custom solution,Qualified,2,,,4640,20,2/22/25,,,
Dickinson-Murphy,France,48.864716,2.349014,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,2/9/24,SAAS,Qualified,2,,,3447,40,1/12/25,,,
Bernier-Beatty,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,3/17/24,SAAS,Qualified,2,,,7072,80,4/6/24,,,
Daugherty LLC,Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Michael Brown,2/27/24,Services,Qualified,2,,,4044,40,8/18/24,,,
Ziemann-Kessler,Germany,52.520008,13.404954,Construction & Engineering,Medium (201-500),Michael Brown,1/31/24,SAAS,Qualified,2,,,6569,90,4/5/24,,,
"Schumm, Crona and Auer",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Sarah Davis,3/17/24,Services,Qualified,2,,,2969,30,6/23/24,,,
Crooks-Green,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Sarah Davis,2/6/24,Custom solution,Qualified,2,,,4957,90,12/14/24,,,
Pacocha-Bartell,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,5/12/24,Services,Qualified,2,,,6457,30,3/6/25,,,
Thompson-Osinski,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Emily Johnson,3/13/24,SAAS,Qualified,2,,,2032,20,3/12/25,,,
Little-Runte,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Emily Johnson,2/3/24,SAAS,Qualified,2,,,1523,60,1/12/25,,,
"Weissnat, Stamm and Marquardt",Netherlands,52.370216,4.895168,Banking and Finance,Medium (201-500),Laura Thompson,2/16/24,Custom solution,Qualified,2,,,4986,60,12/29/24,,,
Kuphal Inc,Spain,40.416775,-3.703790,Banking and Finance,Medium (201-500),Laura Thompson,5/3/24,Services,Qualified,2,,,3346,50,3/25/25,,,
Jaskolski-Welch,Austria,48.210033,16.363449,Retail & Distribution,Medium (201-500),Jessica Martinez,3/17/24,Services,Qualified,2,,,6674,30,9/10/24,,,
"Shanahan, O'Keefe and Lemke",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Laura Thompson,3/7/24,SAAS,Qualified,2,,,7677,40,9/29/24,,,
Heller-Morissette,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Jessica Martinez,1/7/24,SAAS,Qualified,2,,,1132,30,6/9/24,,,
Goldner Inc,Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Laura Thompson,3/21/24,Custom solution,Qualified,2,,,639,50,5/30/24,,,
Hyatt-Pouros,Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),Kevin Anderson,4/13/24,Custom solution,Qualified,2,,,257,20,6/4/24,,,
"Kshlerin, Jacobson and Funk",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),John Smith,2/8/24,SAAS,Qualified,2,,,5783,40,4/6/24,,,
"Heidenreich, MacGyver and Greenholt",Portugal,38.736946,-9.142685,Retail & Distribution,Medium (201-500),Laura Thompson,4/26/24,Custom solution,Qualified,2,,,1490,40,12/11/24,,,
"Blanda, Champlin and Rempel",Italy,41.902782,12.496366,Education & Science,Medium (201-500),Laura Thompson,1/29/24,Custom solution,Qualified,2,,,3366,10,11/27/24,,,
Funk Inc,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Jessica Martinez,4/2/24,Services,Qualified,2,,,1686,60,12/28/24,,,
Wehner-Dach,Germany,52.520008,13.404954,Education & Science,Medium (201-500),Michael Brown,2/11/24,Services,Qualified,2,,,2609,10,9/23/24,,,
VonRueden LLC,Switzerland,46.204391,6.143158,Manufacturing & Production,Medium (201-500),Laura Thompson,2/26/24,SAAS,Qualified,2,,,1564,80,11/10/24,,,
Connelly and Sons,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Laura Thompson,3/29/24,SAAS,Qualified,2,,,4067,10,10/15/24,,,
McKenzie-Spinka,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),David Wilson,5/26/24,SAAS,Qualified,2,,,1309,30,9/6/24,,,
"Tillman, Hand and Lesch",France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Jessica Martinez,3/12/24,Services,Qualified,2,,,7137,10,10/1/24,,,
Von-Ritchie,Austria,48.210033,16.363449,Telecommunications,Medium (201-500),Jessica Martinez,4/22/24,Services,Qualified,2,,,4458,50,9/15/24,,,
Batz LLC,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Michael Brown,1/31/24,Services,Qualified,2,,,5419,50,11/20/24,,,
Reilly LLC,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Emily Johnson,1/3/24,Services,Qualified,2,,,1938,40,12/10/24,,,
Kirlin-Bartell,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Laura Thompson,1/31/24,Services,Qualified,2,,,3660,90,12/13/24,,,
Buckridge-Hickle,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Michael Brown,4/22/24,Custom solution,Qualified,2,,,5705,60,6/7/24,,,
Daugherty Inc,Germany,52.520008,13.404954,Recreation & Sports,Medium (201-500),Michael Brown,1/13/24,Services,Qualified,2,,,353,10,2/19/24,,,
"Gusikowski, Lakin and Rice",Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),David Wilson,2/19/24,Custom solution,Qualified,2,,,332,80,12/13/24,,,
Orn-Crist,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Jessica Martinez,2/14/24,Services,Qualified,2,,,6283,40,11/11/24,,,
Metz Inc,Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Michael Brown,4/10/24,Custom solution,Qualified,2,,,6709,20,1/18/25,,,
Hermann Group,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Sarah Davis,4/3/24,Custom solution,Qualified,2,,,982,40,1/23/25,,,
"Flatley, Lemke and Grady",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Sarah Davis,2/22/24,Services,Qualified,2,,,6298,90,12/31/24,,,
"Terry, Gleichner and Stehr",Austria,48.210033,16.363449,Professional Services  & Consulting,Medium (201-500),Laura Thompson,3/7/24,SAAS,Qualified,2,,,4983,10,2/13/25,,,
"Barton, Altenwerth and Bailey",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Kevin Anderson,1/9/24,Custom solution,Qualified,2,,,4937,50,8/26/24,,,
Kautzer Group,Germany,52.520008,13.404954,Energy & Utilities,Medium (201-500),Michael Brown,2/17/24,SAAS,Qualified,2,,,5953,20,3/30/24,,,
"Turcotte, Anderson and Cormier",Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),Laura Thompson,3/1/24,Services,Qualified,2,,,6065,30,10/4/24,,,
"Kuphal, Schmeler and Christiansen",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),John Smith,5/21/24,SAAS,Qualified,2,,,1341,60,9/8/24,,,
Kuvalis Group,Austria,48.210033,16.363449,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,2/26/24,Custom solution,Qualified,2,,,4659,100,6/24/24,,,
Hilpert-Auer,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Sarah Davis,2/24/24,Services,Qualified,2,,,6927,40,11/12/24,,,
Smitham Group,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Sarah Davis,5/24/24,Custom solution,Qualified,2,,,4714,40,10/26/24,,,
Stokes and Sons,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),John Smith,1/18/24,SAAS,Qualified,2,,,3326,40,9/5/24,,,
Mills Group,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),John Smith,3/13/24,Services,Qualified,2,,,7823,30,5/25/24,,,
"Considine, Treutel and Koss",Portugal,38.736946,-9.142685,Professional Services  & Consulting,Medium (201-500),Laura Thompson,1/24/24,Services,Qualified,2,,,5707,50,4/3/24,,,
"Senger, Goldner and Simonis",Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),Sarah Davis,4/17/24,SAAS,Qualified,2,,,6509,70,2/12/25,,,
"Grant, Blanda and Block",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Kevin Anderson,3/1/24,Custom solution,Qualified,2,,,2420,50,9/28/24,,,
Herzog LLC,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,2/16/24,SAAS,Qualified,2,,,7198,30,10/9/24,,,
"Spinka, Kozey and Shanahan",Spain,40.416775,-3.703790,Banking and Finance,Medium (201-500),Michael Brown,3/14/24,Services,Qualified,2,,,1418,10,11/9/24,,,
Osinski-Dicki,France,48.864716,2.349014,Banking and Finance,Medium (201-500),David Wilson,1/28/24,Services,Qualified,2,,,3488,40,10/14/24,,,
"Crona, Aufderhar and Satterfield",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Jessica Martinez,4/11/24,SAAS,Qualified,2,,,6456,30,8/9/24,,,
Monahan-Cummings,Netherlands,52.370216,4.895168,Manufacturing & Production,Medium (201-500),Sarah Davis,1/23/24,Services,Qualified,2,,,7122,30,4/30/24,,,
Corkery-Steuber,Netherlands,52.370216,4.895168,IT & IT Services,Medium (201-500),Jessica Martinez,5/5/24,Services,Qualified,2,,,782,60,10/16/24,,,
"Bergnaum, Koch and Rutherford",Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Laura Thompson,3/15/24,Services,Qualified,2,,,7885,10,6/7/24,,,
"Herman, Doyle and Hilpert",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Jessica Martinez,3/27/24,Services,Qualified,2,,,2409,30,2/27/25,,,
"D'Amore, Marvin and Jacobs",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,3/23/24,Services,Qualified,2,,,1661,30,1/29/25,,,
Upton-Abshire,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,3/15/24,SAAS,Qualified,2,,,6285,50,9/19/24,,,
Cormier-Schulist,Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),Laura Thompson,1/15/24,Services,Qualified,2,,,7964,40,3/2/24,,,
Schowalter LLC,Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Emily Johnson,2/3/24,Services,Qualified,2,,,5051,20,9/11/24,,,
Runolfsson-Hudson,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),John Smith,3/15/24,SAAS,Qualified,2,,,632,50,12/11/24,,,
Hudson-Hahn,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,3/20/24,Services,Qualified,2,,,1725,30,8/21/24,,,
"Leannon, Yost and Nitzsche",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Laura Thompson,5/13/24,Services,Qualified,2,,,5678,60,4/16/25,,,
"Denesik, Swaniawski and Schulist",France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Sarah Davis,4/10/24,Services,Qualified,2,,,4954,30,11/7/24,,,
"Price, Haley and Satterfield",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Kevin Anderson,1/12/24,Services,Qualified,2,,,4879,20,7/17/24,,,
Witting Group,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Michael Brown,3/31/24,Services,Qualified,2,,,1183,30,11/24/24,,,
Funk-Kuphal,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,3/27/24,SAAS,Qualified,2,,,5257,100,12/15/24,,,
"Collier, Rempel and Kertzmann",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,5/19/24,SAAS,Qualified,2,,,830,40,6/30/24,,,
Lang-Halvorson,Spain,40.416775,-3.703790,Government Administration Healthcare,Medium (201-500),Sarah Davis,5/13/24,Services,Qualified,2,,,2420,60,3/20/25,,,
Kovacek-Quigley,Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),Michael Brown,2/25/24,SAAS,Qualified,2,,,2956,40,2/24/25,,,
Howell-Weimann,Spain,40.416775,-3.703790,Government Administration Healthcare,Medium (201-500),Jessica Martinez,1/13/24,Services,Qualified,2,,,6011,50,5/29/24,,,
Beatty-Marvin,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Kevin Anderson,3/16/24,SAAS,Qualified,2,,,2199,20,9/21/24,,,
Miller LLC,France,48.864716,2.349014,Banking and Finance,Medium (201-500),David Wilson,4/15/24,Services,Qualified,2,,,3395,50,5/29/24,,,
Mosciski-Buckridge,France,48.864716,2.349014,Education & Science,Medium (201-500),Sarah Davis,1/3/24,Custom solution,Qualified,2,,,6029,40,12/24/24,,,
Harber-Ebert,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Emily Johnson,3/14/24,Services,Qualified,2,,,1413,70,12/13/24,,,
"Mann, Bogan and Reilly",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),John Smith,3/25/24,Services,Qualified,2,,,6922,90,1/3/25,,,
"Aufderhar, Metz and Casper",Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Jessica Martinez,3/2/24,SAAS,Qualified,2,,,6394,30,6/19/24,,,
"Reichert, Gislason and Koepp",Italy,41.902782,12.496366,Education & Science,Medium (201-500),Jessica Martinez,3/5/24,Services,Qualified,2,,,7411,20,5/18/24,,,
Carroll-Bogisich,Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Michael Brown,1/30/24,Services,Qualified,2,,,1343,100,11/13/24,,,
"Batz, Wisozk and Hamill",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Emily Johnson,4/12/24,SAAS,Qualified,2,,,667,40,10/10/24,,,
"Leuschke, Beer and White",France,48.864716,2.349014,Energy & Utilities,Medium (201-500),John Smith,3/1/24,Custom solution,Qualified,2,,,4704,90,8/24/24,,,
Kutch-Cronin,Germany,52.520008,13.404954,Agriculture & Mining,Medium (201-500),Emily Johnson,2/28/24,Services,Qualified,2,,,1937,70,12/9/24,,,
"Parisian, Volkman and Gerhold",Belgium,51.260197,4.402771,Professional Services  & Consulting,Medium (201-500),Emily Johnson,5/24/24,Services,Qualified,2,,,3060,20,7/12/24,,,
"Stanton, Smith and Bernhard",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,2/4/24,Services,Qualified,2,,,656,60,8/9/24,,,
Ryan-Schimmel,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Emily Johnson,1/17/24,Services,Qualified,2,,,6655,60,6/25/24,,,
Cronin Group,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Kevin Anderson,5/5/24,Services,Qualified,2,,,7229,70,10/24/24,,,
"Kautzer, Hodkiewicz and Bode",Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,4/11/24,Custom solution,Qualified,2,,,549,60,1/20/25,,,
Labadie Inc,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Laura Thompson,4/27/24,Services,Qualified,2,,,5561,40,4/8/25,,,
Mertz-Koelpin,Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),David Wilson,3/29/24,Custom solution,Qualified,2,,,4742,10,7/9/24,,,
"Dietrich, Stehr and Herman",Germany,52.520008,13.404954,Education & Science,Medium (201-500),Sarah Davis,5/16/24,Custom solution,Qualified,2,,,2684,50,6/24/24,,,
"Prohaska, Christiansen and Yost",Spain,40.416775,-3.703790,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,1/22/24,SAAS,Qualified,2,,,3052,30,4/18/24,,,
Walker Group,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Laura Thompson,4/10/24,Services,Qualified,2,,,2877,100,2/1/25,,,
"Monahan, Pfannerstill and Lindgren",Austria,48.210033,16.363449,Recreation & Sports,Medium (201-500),Sarah Davis,1/11/24,Services,Qualified,2,,,2716,30,12/31/24,,,
Boehm Inc,Germany,52.520008,13.404954,Education & Science,Medium (201-500),Jessica Martinez,2/23/24,SAAS,Qualified,2,,,4548,20,8/3/24,,,
Bins-Hodkiewicz,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,4/18/24,Services,Qualified,2,,,7713,60,10/16/24,,,
O'Reilly-Heller,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Kevin Anderson,4/6/24,SAAS,Qualified,2,,,3681,40,6/29/24,,,
Baumbach and Sons,Netherlands,52.370216,4.895168,Construction & Engineering,Medium (201-500),John Smith,4/21/24,SAAS,Qualified,2,,,4976,20,11/2/24,,,
Brekke Inc,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Jessica Martinez,1/16/24,Services,Qualified,2,,,4089,40,9/10/24,,,
"Bauch, Fadel and Reichert",Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Kevin Anderson,2/16/24,SAAS,Qualified,2,,,2882,20,3/12/24,,,
"Wolf, Halvorson and Koepp",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Kevin Anderson,1/3/24,Custom solution,Qualified,2,,,6936,40,3/9/24,,,
"Boehm, Satterfield and Quigley",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Michael Brown,1/29/24,SAAS,Qualified,2,,,7679,20,4/3/24,,,
Marquardt-Bergnaum,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,1/9/24,Services,Qualified,2,,,3169,50,11/21/24,,,
"Bashirian, Wiegand and Jerde",Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Emily Johnson,2/6/24,Custom solution,Qualified,2,,,1182,10,5/17/24,,,
"Beatty, Baumbach and Lubowitz",Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Sarah Davis,2/6/24,Services,Qualified,2,,,3183,50,7/6/24,,,
"Pouros, Boyle and Ullrich",Belgium,51.260197,4.402771,IT & IT Services,Medium (201-500),Sarah Davis,5/1/24,Services,Qualified,2,,,4996,40,1/3/25,,,
Brakus-Metz,France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Michael Brown,2/27/24,Custom solution,Qualified,2,,,7982,20,7/14/24,,,
Dibbert Group,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Laura Thompson,2/5/24,Custom solution,Qualified,2,,,2860,40,10/18/24,,,
Weimann-Will,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Laura Thompson,4/1/24,SAAS,Qualified,2,,,2517,20,12/2/24,,,
Weimann-Dibbert,Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),David Wilson,2/25/24,SAAS,Qualified,2,,,7513,40,12/5/24,,,
Hettinger-Gleason,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Jessica Martinez,4/15/24,SAAS,Qualified,2,,,1920,40,10/14/24,,,
Ritchie and Sons,Spain,40.416775,-3.703790,Banking and Finance,Medium (201-500),Laura Thompson,1/2/24,Custom solution,Qualified,2,,,7974,60,10/9/24,,,
"Mann, Erdman and O'Keefe",France,48.864716,2.349014,Banking and Finance,Medium (201-500),Laura Thompson,5/1/24,SAAS,Qualified,2,,,7600,40,7/6/24,,,
"Herzog, Legros and Wuckert",Spain,40.416775,-3.703790,Professional Services  & Consulting,Medium (201-500),Laura Thompson,2/6/24,SAAS,Qualified,2,,,294,40,12/21/24,,,
"Schuster, Spencer and Gerhold",Belgium,51.260197,4.402771,Retail & Distribution,Medium (201-500),Michael Brown,2/26/24,Services,Qualified,2,,,6756,60,3/21/24,,,
"Hodkiewicz, Toy and Konopelski",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Jessica Martinez,4/19/24,Custom solution,Qualified,2,,,6193,40,6/22/24,,,
Larkin-Little,Switzerland,46.204391,6.143158,Manufacturing & Production,Medium (201-500),Kevin Anderson,2/5/24,Custom solution,Qualified,2,,,497,100,4/29/24,,,
Schmidt LLC,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),David Wilson,2/28/24,SAAS,Qualified,2,,,1304,20,10/8/24,,,
Murray-Watsica,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),Kevin Anderson,3/8/24,Services,Qualified,2,,,3809,90,4/26/24,,,
Boyer Group,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Michael Brown,1/30/24,Services,Qualified,2,,,310,40,3/18/24,,,
"Stroman, Block and Koepp",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Michael Brown,2/14/24,Services,Qualified,2,,,1032,60,8/28/24,,,
Johnson and Sons,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),David Wilson,5/24/24,SAAS,Qualified,2,,,6064,60,3/7/25,,,
Mueller-Conn,Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),Jessica Martinez,3/23/24,Services,Qualified,2,,,6973,30,7/11/24,,,
Balistreri-Schultz,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Michael Brown,1/28/24,SAAS,Qualified,2,,,2036,60,8/22/24,,,
Cruickshank Group,Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),Laura Thompson,1/21/24,Services,Qualified,2,,,6005,100,9/29/24,,,
Homenick Group,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),David Wilson,1/15/24,SAAS,Qualified,2,,,5627,20,3/15/24,,,
Muller LLC,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,1/9/24,Custom solution,Qualified,2,,,6932,100,6/3/24,,,
Schuster LLC,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),David Wilson,1/21/24,Services,Qualified,2,,,6150,50,11/9/24,,,
"Dare, Tillman and Becker",France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,3/16/24,SAAS,Qualified,2,,,1581,30,11/7/24,,,
"Nolan, Maggio and Hoeger",France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Sarah Davis,3/24/24,Services,Qualified,2,,,471,50,6/2/24,,,
Hermiston-Bergstrom,Germany,52.520008,13.404954,Telecommunications,Medium (201-500),Laura Thompson,1/22/24,SAAS,Qualified,2,,,1243,40,9/24/24,,,
Bradtke and Sons,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Michael Brown,3/10/24,Services,Qualified,2,,,580,40,10/14/24,,,
Cruickshank and Sons,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Laura Thompson,2/4/24,Services,Qualified,2,,,4648,70,9/2/24,,,
Wolff Inc,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,5/2/24,SAAS,Qualified,2,,,1296,60,2/24/25,,,
Lockman-O'Connell,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,3/8/24,Services,Qualified,2,,,4501,30,5/27/24,,,
Stehr-Maggio,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Kevin Anderson,2/15/24,Services,Qualified,2,,,374,20,8/27/24,,,
Schaefer-O'Keefe,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,3/10/24,Services,Qualified,2,,,1614,50,10/23/24,,,
Rempel-Greenfelder,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Michael Brown,2/14/24,SAAS,Qualified,2,,,5847,60,12/22/24,,,
Berge Inc,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,4/7/24,Services,Qualified,2,,,1232,20,11/29/24,,,
Powlowski-Simonis,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Michael Brown,3/20/24,Services,Qualified,2,,,6728,40,4/14/24,,,
Prohaska-Kuvalis,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Michael Brown,3/9/24,Services,Qualified,2,,,5807,40,2/26/25,,,
Brakus-Simonis,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Jessica Martinez,3/25/24,SAAS,Qualified,2,,,5401,40,4/25/24,,,
"Tillman, VonRueden and Ondricka",Spain,40.416775,-3.703790,Construction & Engineering,Medium (201-500),Michael Brown,1/15/24,Services,Qualified,2,,,1613,30,6/21/24,,,
Batz Inc,Austria,48.210033,16.363449,IT & IT Services,Medium (201-500),Kevin Anderson,5/9/24,Services,Qualified,2,,,7169,50,3/8/25,,,
Medhurst and Sons,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Laura Thompson,1/27/24,Custom solution,Qualified,2,,,1803,20,12/24/24,,,
Schoen Inc,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Michael Brown,2/9/24,SAAS,Qualified,2,,,663,10,5/28/24,,,
Toy-Grady,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Laura Thompson,5/19/24,Services,Qualified,2,,,885,70,1/29/25,,,
Keeling and Sons,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Medium (201-500),Laura Thompson,1/27/24,Services,Qualified,2,,,7571,40,5/25/24,,,
Gusikowski and Sons,Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),John Smith,4/27/24,Services,Qualified,2,,,5058,30,4/22/25,,,
"Bahringer, Jerde and Dibbert",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Laura Thompson,1/15/24,SAAS,Qualified,2,,,4828,60,7/16/24,,,
Murray-Koepp,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Jessica Martinez,5/16/24,Services,Qualified,2,,,5923,80,3/30/25,,,
Erdman-Beahan,France,48.864716,2.349014,Telecommunications,Medium (201-500),Emily Johnson,5/14/24,Services,Qualified,2,,,2433,30,8/27/24,,,
Hayes LLC,Netherlands,52.370216,4.895168,Energy & Utilities,Medium (201-500),Laura Thompson,1/13/24,SAAS,Qualified,2,,,7461,40,1/1/25,,,
"Kutch, Bauch and Heathcote",France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,3/26/24,SAAS,Qualified,2,,,3504,70,3/8/25,,,
Heathcote-Hettinger,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,3/25/24,SAAS,Qualified,2,,,7764,40,9/16/24,,,
